time,theta1,theta2
0.0,0.0,-0.0
0.03155778894472362,0.05048849174131165,-0.19750235826496787
0.06311557788944724,0.10136169594424127,-0.39451337713468265
0.09467336683417087,0.15303253861610183,-0.5905034521206721
0.1262311557788945,0.2059741150365725,-0.7848607303873864
0.1577889447236181,0.26075972046500884,-0.9768344551861116
0.18934673366834173,0.3181164294970876,-1.1654559491320349
0.22090452261306537,0.37899906238462244,-1.3494228569768347
0.252462311557789,0.44469149682491804,-1.5269253746774416
0.2840201005025126,0.5169359609257614,-1.6953857587857335
0.3155778894472362,0.5980622915278945,-1.8510838687005349
0.34713567839195986,0.6909973625995516,-1.988685268298517
0.37869346733668346,0.798809286206869,-2.100859785789228
0.4102512562814071,0.9231098679323473,-2.178583303156465
0.44180904522613074,1.0608741995345528,-2.2131011707348383
0.47336683417085434,1.2015226189547232,-2.199626301679275
0.504924623115578,1.3288230503144458,-2.1401031295966204
0.5364824120603016,1.428162782534626,-2.042022804583678
0.5680402010050252,1.4923076511146247,-1.9146595868395226
0.5995979899497488,1.521330821177839,-1.7662068301324383
0.6311557788944724,1.519429293515734,-1.6028567059010237
0.6627135678391961,1.4920933041250684,-1.4289839845904948
0.6942713567839197,1.4446034807008348,-1.2476190888270533
0.7258291457286433,1.381493787693147,-1.060873582138024
0.7573869346733669,1.3064883092113908,-0.8702487602203938
0.7889447236180905,1.2226155351931298,-0.676843974263757
0.8205025125628141,1.1323654221892905,-0.4814949886295057
0.8520603015075378,1.037839540610657,-0.28486713859329793
0.8836180904522615,0.9408817320490186,-0.08752046880097392
0.9151758793969851,0.9256961453278078,-0.11004165081678896
0.9467336683417087,0.9763503320850422,-0.3073324753963632
0.9782914572864323,1.0276138411929812,-0.5038442982657618
1.009849246231156,1.0799287650790113,-0.6990077549756922
1.0414070351758795,1.1338183481089428,-0.8921417750691384
1.0729648241206031,1.1899337981969447,-1.082385915805053
1.1045226130653267,1.249118308719814,-1.2686030481519461
1.1360804020100503,1.3124955442430808,-1.4492344231509768
1.167638190954774,1.3815874611461503,-1.622081469108813
1.1991959798994976,1.4584507176572319,-1.7839840443198434
1.2307537688442212,1.5457644430854005,-1.93038311314151
1.2623115577889448,1.6466446520461655,-2.054856060506348
1.2938693467336686,1.763650333925567,-2.14900827454869
1.3254271356783922,1.8962738471338763,-2.2035862243656887
1.3569849246231158,2.037439967796474,-2.2115548812026873
1.3885427135678394,2.172743121384758,-2.1717590984325574
1.420100502512563,2.2858625538005604,-2.089631779289089
1.4516582914572866,2.3659624773310095,-1.9741247139894404
1.4832160804020103,2.4101915186507017,-1.8341286539982284
1.5147738693467339,2.421339454723337,-1.6767406011787362
1.5463316582914575,2.404586198029319,-1.5070867071668033
1.577889447236181,2.3654157634483353,-1.328734185701829
1.6094472361809047,2.3087195848979816,-1.144156597617826
1.6410050251256283,2.2385724298164376,-0.9550946389290695
1.672562814070352,2.1582922904769086,-0.7628051599279385
1.7041206030150755,2.0705881999709623,-0.5682269920008635
1.7356783919597991,1.977716448665082,-0.37209158824954475
1.767236180904523,1.881620190981655,-0.1749988720954566
1.7987939698492466,1.8009453047375024,-0.022527974710567958
1.8303517587939702,1.8514579566392548,-0.21999949705918095
1.8619095477386938,1.9024004255113676,-0.4169219797604611
1.8934673366834174,1.9541907739226674,-0.6127588310258821
1.925025125628141,2.007311299353836,-0.8068855421539464
1.9565829145728646,2.0623498072720543,-0.9985310405489376
1.9881407035175882,2.1200551468125175,-1.1866953204943838
2.019698492462312,2.1814139732148603,-1.370028294218851
2.0512562814070354,2.2477554645647766,-1.5466476971386147
2.082814070351759,2.3208829672188283,-1.7138667339724951
2.1143718592964826,2.403198399598723,-1.8678060395324947
2.1459296482412062,2.497682045911703,-2.0029173277070207
2.17748743718593,2.6073460984382635,-2.111639965218886
2.2090452261306535,2.733459512658332,-2.184841485724476
2.240603015075377,2.8722363577484664,-2.214015633465093
2.2721608040201007,3.0122266440282846,-2.1950613878446283
2.3037185929648243,3.136968561983288,-2.13069504772603
2.335276381909548,3.232503181474545,-2.0288103401757223
2.3668341708542715,3.292531437423468,-1.8986641799090433
2.398391959798995,3.3177723278948923,-1.7482379190450177
2.4299497487437187,3.312688777036839,-1.5834965721180951
2.4615075376884423,3.2827999330572384,-1.4086371107478557
2.493065326633166,3.2333158156685626,-1.2265658187019208
2.5246231155778895,3.168676050338028,-1.0393112366588302
2.5561809045226136,3.0925180814534317,-0.848319880915848
2.587738693467337,3.00780095325133,-0.6546550969682604
2.619296482412061,2.9169630894688114,-0.45912916382756475
2.6508542713567844,2.8220704522765354,-0.2623925164207283
2.682412060301508,2.724944942749428,-0.06499650333481836
2.7139698492462316,2.7266495203836048,-0.1325593279322644
2.7455276381909552,2.7773525681858318,-0.3297877496733871
2.777085427135679,2.828712454393055,-0.5261761959094542
2.8086432160804025,2.881178555564608,-0.7211453403453586
2.840201005025126,2.9352860798425775,-0.9139975102097179
2.8717587939698497,2.991704497796461,-1.1038463381778407
2.9033165829145733,3.051303983094553,-1.2895150607910624
2.934874371859297,3.1152471137247564,-1.469384673934307
2.9664321608040205,3.185109896250535,-1.6411654377911067
2.997989949748744,3.2630177895605046,-1.8015617398897725
3.0295477386934677,3.351718116988982,-1.945823871345154
3.0611055276381913,3.4543363283420243,-2.067296390506826
3.092663316582915,3.5732412649882317,-2.157396744546168
3.1242211055276385,3.707347798191929,-2.206933428812028
3.155778894472362,-2.4345061095491682,-2.2093799234179894
3.1873366834170858,-2.300955049778413,-2.164380793531225
3.2188944723618094,-2.191205440191463,-2.077970234529626
3.250452261306533,-2.115188070912977,-1.9592479431349625
3.2820100502512566,-2.074942431886562,-1.8169495167300966
3.31356783919598,-2.0672562204584572,-1.6579376512777255
3.345125628140704,-2.086835818387345,-1.4871361075806326
3.3766834170854274,-2.128236654214886,-1.3079653546002712
3.408241206030151,-2.186657023520375,-1.122799454080493
3.4397989949748746,-2.2581142721312166,-0.9333131966962048
3.4713567839195982,-2.3393678790911667,-0.7407200530305617
3.502914572864322,-2.427768110696533,-0.5459304252664641
3.534472361809046,-2.5211010456003287,-0.34965743456178605
3.5660301507537695,-2.6174512743130007,-0.1524897775171097
3.597587939698493,-2.681294137473555,-0.045055234661338914
3.6291457286432167,-2.6307523311417125,-0.24248954319788565
3.6607035175879403,-2.579735196991903,-0.4393165611092976
3.692261306532664,-2.5278191162215102,-0.6349921312404528
3.7238190954773875,-2.474512058567786,-0.8288783371303782
3.755376884422111,-2.419210993972224,-1.0201827352768746
3.7869346733668348,-2.3611443088605855,-1.2078724402086385
3.8184924623115584,-2.299292153580555,-1.390547296743745
3.850050251256282,-2.232278310648542,-1.566249071903157
3.8816080402010056,-2.1582365723303205,-1.7321768632641796
3.913165829145729,-2.0746928190435594,-1.8842856919764697
3.944723618090453,-1.9786196442633912,-2.0168082789654624
3.9762814070351764,-1.8670831507303822,-2.1219580080509672
4.0078391959799,-1.7392024498502459,-2.190522412856624
4.039396984924624,-1.5995647081342916,-2.214296391558694
4.070954773869348,-1.46045603814627,-2.1899002312178926
4.102512562814071,-1.3384601492347952,-2.1207980232960626
4.134070351758795,-1.2468111577356231,-2.015232139021692
4.165628140703518,-1.190886174555819,-1.8824074129806507
4.197185929648242,-1.1693666160170764,-1.730084820282883
4.228743718592965,-1.177559063534174,-1.564006266995393
4.260301507537689,-1.2099326081255888,-1.388197402387037
4.2918592964824125,-1.261353306416581,-1.2054457733368404
4.3234170854271365,-1.3274760044340788,-1.0177007128257192
4.35497487437186,-1.4047481695339648,-0.82635650907813
4.386532663316584,-1.4902781113852652,-0.6324421937962085
4.418090452261307,-1.581677004810226,-0.43674770333490487
4.449648241206031,-1.6769128304351963,-0.2399093766864231
4.481206030150754,-1.7741841897606725,-0.04247047312465076
4.512763819095478,-1.755579097404047,-0.1550727752380461
4.544321608040201,-1.7048220153505764,-0.3522321740979472
4.575879396984925,-1.6533599487449182,-0.5484897663269424
4.607437185929649,-1.600735763350369,-0.743255602094794
4.638994974874373,-1.5464016645263028,-0.9358145049124037
4.670552763819096,-1.4896690634844278,-1.1252528805195066
4.70211055276382,-1.4296396202286987,-1.310352385646456
4.733668341708543,-1.365110260339506,-1.489430825519828
4.765226130653267,-1.29444908966207,-1.6601029536525924
4.79678391959799,-1.215460664725478,-1.8189317731182941
4.828341708542714,-1.1253320199940173,-1.9609706082311613
4.859899497487437,-1.0209420872191193,-2.079329866423391
4.8914572864321615,-0.9001476608748087,-2.16525514124552
4.923015075376885,-0.7646609663158656,-2.20966128131329
4.954572864321609,-0.6233667408929903,-2.206580704792061
4.986130653266332,-0.491784863543395,-2.156460907565973
5.017688442211056,-0.38553577540036865,-2.0658893621942065
5.049246231155779,-0.3136239631284401,-1.9440668865488893
5.080804020100503,-0.27731636059100706,-1.7995552318366543
5.112361809045227,-0.2730210447104816,-1.6389830360620374
5.14391959798995,-0.2953554380801371,-1.4670778075583109
5.175477386934674,-0.3389241145435965,-1.2871193172367228
5.207035175879398,-0.3990170048623561,-1.1013866271656345
5.238592964824122,-0.4717423901990365,-0.9114916811516047
5.270150753768845,-0.5539351858560213,-0.718606597836844
5.301708542713569,-0.6430029239305066,-0.5236147048527906
5.333266331658292,-0.7367722671774151,-0.3272117248738706
5.364824120603016,-0.8333540218765376,-0.12997580793115707
5.396381909547739,-0.880347151522036,-0.06758106438939383
5.427939698492463,-0.8297711692011196,-0.2649717443266551
5.459497487437186,-0.7786738977103681,-0.4616962716697723
5.4910552763819105,-0.7266257328153075,-0.6572023311543173
5.522613065326634,-0.673124363972303,-0.8508378195713674
5.554170854271358,-0.6175507956825143,-1.0417878221163144
5.585728643216081,-0.559109622265997,-1.2289849493384377
5.617286432160805,-0.496746394166823,-1.4109765312890499
5.648844221105528,-0.4290360833446444,-1.5857246980235495
5.680402010050252,-0.35404794258563077,-1.7503091996131426
5.711959798994975,-0.2692359357886268,-1.9005129925906643
5.743517587939699,-0.17153308281520196,-2.0303451904414374
5.7750753768844225,-0.05810869436422916,-2.1317996473669187
5.806633165829147,0.07148293992586585,-2.1956156305668713
5.83819095477387,0.2118180819292131,-2.213942867000496
5.869748743718594,0.3498198941702968,-2.184152522258113
5.901306532663317,0.4688925516510175,-2.110426228044644
5.932864321608041,0.5565879767826174,-2.0013013974326896
5.964422110552764,0.6084308123838372,-1.8658994409114453
5.995979899497488,0.6262927922812606,-1.7117547404232158
6.027537688442211,0.6150645850125147,-1.5443907744515408
6.059095477386935,0.580273434519446,-1.3676683154458524
6.0906532663316595,0.5269726135072202,-1.1842613926315384
6.122211055276383,0.45941301164519,-0.9960437811548466
6.153768844221107,0.38106406939627957,-0.8043599753528013
6.18532663316583,0.29475221215414094,-0.6102063088119317
6.216884422110554,0.20281857141921203,-0.4143514702949714
6.248442211055277,0.10726285970923607,-0.21741847865261316
6.28,0.009867390274732617,-0.019943094843517417
